,index,count
703,01 26,0
704,01 27,0
705,01 28,0
706,01 29,0
707,02 00,0
708,02 01,0
709,02 02,0
710,02 03,0
711,02 04,0
712,02 05,0
713,01 01,0
714,01 00,0
715,00 31,0
716,00 14,0
717,00 02,0
718,00 03,0
719,00 04,0
720,00 06,0
721,00 07,0
722,00 08,0
723,00 09,0
724,00 10,0
725,00 11,0
726,00 12,0
727,00 13,0
728,00 15,0
729,00 30,0
730,00 16,0
731,00 17,0
732,00 18,0
733,00 19,0
734,00 21,0
735,00 22,0
736,00 23,0
737,00 25,0
738,00 26,0
739,00 28,0
740,00 29,0
741,02 06,0
742,02 07,0
743,02 08,0
744,03 19,0
745,03 07,0
746,03 08,0
747,03 09,0
748,03 11,0
749,03 12,0
750,03 13,0
751,03 14,0
752,03 15,0
753,03 16,0
754,03 17,0
755,03 18,0
756,03 20,0
757,03 05,0
758,03 21,0
759,03 22,0
760,03 23,0
761,03 24,0
762,03 25,0
763,03 26,0
764,03 27,0
765,03 28,0
766,03 29,0
767,03 30,0
768,03 31,0
769,03 06,0
770,03 04,0
771,02 09,0
772,02 21,0
773,02 10,0
774,02 11,0
775,02 12,0
776,02 13,0
777,02 14,0
778,02 15,0
779,02 16,0
780,02 17,0
781,02 18,0
782,02 19,0
783,02 20,0
784,02 22,0
785,03 02,0
786,02 23,0
787,02 24,0
788,02 25,0
789,02 26,0
790,02 27,0
791,02 28,0
792,02 29,0
793,02 30,0
794,02 31,0
795,03 00,0
796,03 01,0
797,09 03,0
798,09 06,0
799,17 26,0
800,13 18,0
801,14 24,0
802,14 25,0
803,14 26,0
804,14 27,0
805,14 28,0
806,14 29,0
807,15 00,0
808,15 01,0
809,15 02,0
810,15 03,0
811,15 04,0
812,15 05,0
813,15 06,0
814,15 07,0
815,15 08,0
816,15 09,0
817,15 10,0
818,15 11,0
819,15 12,0
820,15 13,0
821,15 14,0
822,15 15,0
823,15 16,0
824,15 17,0
825,15 19,0
826,14 23,0
827,14 22,0
828,14 19,0
829,14 02,0
830,13 21,0
831,13 22,0
832,13 23,0
833,13 24,0
834,13 25,0
835,13 26,0
836,13 28,0
837,13 30,0
838,13 31,0
839,14 00,0
840,14 01,0
841,14 03,0
842,14 17,0
843,14 04,0
844,14 05,0
845,14 06,0
846,14 07,0
847,14 09,0
848,14 10,0
849,14 11,0
850,14 13,0
851,14 14,0
852,14 15,0
853,14 16,0
854,15 20,0
855,15 22,0
856,15 23,0
857,17 05,0
858,16 24,0
859,16 25,0
860,16 26,0
861,16 27,0
862,16 28,0
863,16 29,0
864,16 30,0
865,17 01,0
866,17 02,0
867,17 03,0
868,17 04,0
869,17 06,0
870,16 22,0
871,17 09,0
872,17 10,0
873,17 11,0
874,17 13,0
875,17 14,0
876,17 15,0
877,17 16,0
878,17 17,0
879,17 18,0
880,17 22,0
881,17 24,0
882,16 23,0
883,16 21,0
